Electoral District Code,Electoral District Name,Candidate's Ballot Name,Affiliation,Total Valid Votes,% of Popular Vote,In-district Ballot Box count,Date,Time,AdvanceTotals,FinalTotals,Out-of District count,Initial Count Status
MAP,Maple Ridge-Pitt Meadows,Lorne Neufeld,Bananas,2573,30.50%,12 of 12,22/08/2024,03:52:20 PM,4 of 4,8 of 8,Complete,Complete
MAP,Maple Ridge-Pitt Meadows,John Rai,BC Kiwi Party,2472,29.31%,12 of 12,22/08/2024,03:52:20 PM,4 of 4,8 of 8,Complete,Complete
MPR,Mid Island-Pacific Rim,Brenda Chaudry,Bananas,2617,38.04%,13 of 13,22/08/2024,03:52:20 PM,5 of 5,8 of 8,Complete,Complete
MPR,Mid Island-Pacific Rim,Peter Prest,BC Mangoes,2086,30.32%,13 of 13,22/08/2024,03:52:20 PM,5 of 5,8 of 8,Complete,Complete
MPR,Mid Island-Pacific Rim,Jagrup Sharma,BC Kiwi Party,2176,31.63%,13 of 13,22/08/2024,03:52:20 PM,5 of 5,8 of 8,Complete,Complete
NAI,Nanaimo-Gabriola Island,Dan Dhillon,BC Kiwi Party,2939,35.56%,14 of 14,22/08/2024,03:52:20 PM,5 of 5,9 of 9,Complete,Complete
NAI,Nanaimo-Gabriola Island,Katrina Mcculloch,Bananas,3048,36.87%,14 of 14,22/08/2024,03:52:20 PM,5 of 5,9 of 9,Complete,Complete
NAI,Nanaimo-Gabriola Island,Mackenzie Williamson,BC Mangoes,2279,27.57%,14 of 14,22/08/2024,03:52:20 PM,5 of 5,9 of 9,Complete,Complete
NAL,Nanaimo-Lantzville,Benny Jan,BC Kiwi Party,2751,30.55%,14 of 14,22/08/2024,03:52:20 PM,4 of 4,10 of 10,Complete,Complete
NAL,Nanaimo-Lantzville,Logan Kashuba,Bananas,2917,32.39%,14 of 14,22/08/2024,03:52:20 PM,4 of 4,10 of 10,Complete,Complete
NAL,Nanaimo-Lantzville,Jennifer Paton,BC Mangoes,3338,37.06%,14 of 14,22/08/2024,03:52:20 PM,4 of 4,10 of 10,Complete,Complete
NEC,Nechako Lakes,Mike Douglas,BC Pineapple Party,2852,22.84%,15 of 15,22/08/2024,03:52:20 PM,5 of 5,10 of 10,Complete,Complete
NEC,Nechako Lakes,Harwinder Holmes,Bananas,3712,29.72%,15 of 15,22/08/2024,03:52:20 PM,5 of 5,10 of 10,Complete,Complete
NEC,Nechako Lakes,Walt Johnson,BC Mangoes,3152,25.24%,15 of 15,22/08/2024,03:52:20 PM,5 of 5,10 of 10,Complete,Complete
NEC,Nechako Lakes,William Thiesen,BC Kiwi Party,2773,22.20%,15 of 15,22/08/2024,03:52:20 PM,5 of 5,10 of 10,Complete,Complete
NMC,New Westminster-Coquitlam,Brenda Ashton,Bananas,1440,12.77%,12 of 12,22/08/2024,03:52:20 PM,4 of 4,8 of 8,Complete,Complete
NMC,New Westminster-Coquitlam,Dallas Cambridge,BC Mangoes,2315,20.52%,12 of 12,22/08/2024,03:52:20 PM,4 of 4,8 of 8,Complete,Complete
NMC,New Westminster-Coquitlam,Tracy Chocyk,BC Pineapple Party,2659,23.57%,12 of 12,22/08/2024,03:52:20 PM,4 of 4,8 of 8,Complete,Complete
NMC,New Westminster-Coquitlam,Valentine Janzen,BC Kiwi Party,3223,28.58%,12 of 12,22/08/2024,03:52:20 PM,4 of 4,8 of 8,Complete,Complete
NMC,New Westminster-Coquitlam,Dan Sumexheltza,Cherries,1642,14.56%,12 of 12,22/08/2024,03:52:20 PM,4 of 4,8 of 8,Complete,Complete
NOH,North Coast-Haida Gwaii,Laura-Lynn Dorval,BC Kiwi Party,3459,32.16%,16 of 16,22/08/2024,03:52:20 PM,6 of 6,10 of 10,Complete,Complete
NOH,North Coast-Haida Gwaii,Aman Greaves,BC Mangoes,3783,35.17%,16 of 16,22/08/2024,03:52:20 PM,6 of 6,10 of 10,Complete,Complete
NOH,North Coast-Haida Gwaii,Nigel Warrington,Bananas,3515,32.68%,16 of 16,22/08/2024,03:52:20 PM,6 of 6,10 of 10,Complete,Complete
NOI,North Island,Jas James,Bananas,3504,27.37%,19 of 19,22/08/2024,03:52:20 PM,7 of 7,12 of 12,Complete,Complete
NOI,North Island,Jon Mitchell,BC Pineapple Party,3182,24.86%,19 of 19,22/08/2024,03:52:20 PM,7 of 7,12 of 12,Complete,Complete
NOI,North Island,Scott Pattee,BC Mangoes,2674,20.89%,19 of 19,22/08/2024,03:52:20 PM,7 of 7,12 of 12,Complete,Complete
NOI,North Island,Kevin Wall,BC Kiwi Party,3441,26.88%,19 of 19,22/08/2024,03:52:20 PM,7 of 7,12 of 12,Complete,Complete
NVL,North Vancouver-Lonsdale,John Affleck,BC Kiwi Party,2147,15.55%,12 of 12,22/08/2024,03:52:20 PM,5 of 5,7 of 7,Complete,Complete
NVL,North Vancouver-Lonsdale,Ted Brett,Bananas,1986,14.38%,12 of 12,22/08/2024,03:52:20 PM,5 of 5,7 of 7,Complete,Complete
NVL,North Vancouver-Lonsdale,Brittny Hee,Cherries,2184,15.81%,12 of 12,22/08/2024,03:52:20 PM,5 of 5,7 of 7,Complete,Complete
NVL,North Vancouver-Lonsdale,Cheryl Hendy,BC Pineapple Party,2289,16.57%,12 of 12,22/08/2024,03:52:20 PM,5 of 5,7 of 7,Complete,Complete
NVL,North Vancouver-Lonsdale,Malagius Lindgren,BC Mangoes,2794,20.23%,12 of 12,22/08/2024,03:52:20 PM,5 of 5,7 of 7,Complete,Complete
NVL,North Vancouver-Lonsdale,Carole Ma,,2411,17.46%,12 of 12,22/08/2024,03:52:20 PM,5 of 5,7 of 7,Complete,Complete
NVS,North Vancouver-Seymour,Kay Bleuer,BC Pineapple Party,2697,25.71%,13 of 13,22/08/2024,03:52:20 PM,4 of 4,9 of 9,Complete,Complete
NVS,North Vancouver-Seymour,David Helme,Bananas,3301,31.46%,13 of 13,22/08/2024,03:52:20 PM,4 of 4,9 of 9,Complete,Complete
NVS,North Vancouver-Seymour,Kim Simcox,BC Kiwi Party,2425,23.11%,13 of 13,22/08/2024,03:52:20 PM,4 of 4,9 of 9,Complete,Complete
NVS,North Vancouver-Seymour,Dan Westgate,BC Mangoes,2069,19.72%,13 of 13,22/08/2024,03:52:20 PM,4 of 4,9 of 9,Complete,Complete
OBG,Oak Bay-Gordon Head,Ronna-Rae Bhandari,BC Mangoes,2429,33.34%,14 of 14,22/08/2024,03:52:20 PM,5 of 5,9 of 9,Complete,Complete
OBG,Oak Bay-Gordon Head,Susie Jaluague,BC Kiwi Party,2303,31.61%,14 of 14,22/08/2024,03:52:20 PM,5 of 5,9 of 9,Complete,Complete
OBG,Oak Bay-Gordon Head,Aman Sultan,Bananas,2554,35.05%,14 of 14,22/08/2024,03:52:20 PM,5 of 5,9 of 9,Complete,Complete
PCN,Peace River North,Joshua Colero,BC Kiwi Party,2774,34.22%,14 of 14,22/08/2024,03:52:20 PM,6 of 6,8 of 8,Complete,Complete
PCN,Peace River North,Clayton Olesen,Bananas,2726,33.63%,14 of 14,22/08/2024,03:52:20 PM,6 of 6,8 of 8,Complete,Complete
PCN,Peace River North,Kimball Smith,BC Mangoes,2606,32.15%,14 of 14,22/08/2024,03:52:20 PM,6 of 6,8 of 8,Complete,Complete
PCS,Peace River South,Tom Komar,Bananas,2885,19.98%,15 of 15,22/08/2024,03:52:20 PM,6 of 6,9 of 9,Complete,Complete
PCS,Peace River South,Tara Lin,Cherries,3404,23.57%,15 of 15,22/08/2024,03:52:20 PM,6 of 6,9 of 9,Complete,Complete
PCS,Peace River South,Rj Maxwell,BC Kiwi Party,2481,17.18%,15 of 15,22/08/2024,03:52:20 PM,6 of 6,9 of 9,Complete,Complete
PCS,Peace River South,Francoise Morton,BC Mangoes,2825,19.56%,15 of 15,22/08/2024,03:52:20 PM,6 of 6,9 of 9,Complete,Complete
PCS,Peace River South,Kelly Routley,BC Pineapple Party,2845,19.70%,15 of 15,22/08/2024,03:52:20 PM,6 of 6,9 of 9,Complete,Complete
PES,Penticton-Summerland,Peter Alderking,BC Pineapple Party,2757,14.41%,13 of 13,22/08/2024,03:52:20 PM,5 of 5,8 of 8,Complete,Complete
PES,Penticton-Summerland,Jin Barkusky,Bananas,2755,14.40%,13 of 13,22/08/2024,03:52:20 PM,5 of 5,8 of 8,Complete,Complete
PES,Penticton-Summerland,Jas Furstenau,BC Mangoes,2621,13.70%,13 of 13,22/08/2024,03:52:20 PM,5 of 5,8 of 8,Complete,Complete
PES,Penticton-Summerland,Andrew Harris,Independent,2958,15.46%,13 of 13,22/08/2024,03:52:20 PM,5 of 5,8 of 8,Complete,Complete
PES,Penticton-Summerland,Aisha Johnston,Cherries,2047,10.70%,13 of 13,22/08/2024,03:52:20 PM,5 of 5,8 of 8,Complete,Complete
PES,Penticton-Summerland,Harwinder Malik,,2973,15.54%,13 of 13,22/08/2024,03:52:20 PM,5 of 5,8 of 8,Complete,Complete
PES,Penticton-Summerland,Scott Wang,BC Kiwi Party,3020,15.79%,13 of 13,22/08/2024,03:52:20 PM,5 of 5,8 of 8,Complete,Complete
POC,Port Coquitlam,Michael Gook,BC Kiwi Party,1868,22.51%,14 of 14,22/08/2024,03:52:20 PM,4 of 4,10 of 10,Complete,Complete
POC,Port Coquitlam,Pauline Greenwood,BC Mangoes,3162,38.10%,14 of 14,22/08/2024,03:52:20 PM,4 of 4,10 of 10,Complete,Complete
POC,Port Coquitlam,Lewis Welwood,Bananas,3269,39.39%,14 of 14,22/08/2024,03:52:20 PM,4 of 4,10 of 10,Complete,Complete
POM,Port Moody-Burquitlam,Sandra Fleming,BC Kiwi Party,2294,17.96%,14 of 14,22/08/2024,03:52:20 PM,5 of 5,9 of 9,Complete,Complete
POM,Port Moody-Burquitlam,Peter Kang,BC Pineapple Party,1956,15.31%,14 of 14,22/08/2024,03:52:20 PM,5 of 5,9 of 9,Complete,Complete
POM,Port Moody-Burquitlam,Bill Reichert,Cherries,3112,24.36%,14 of 14,22/08/2024,03:52:20 PM,5 of 5,9 of 9,Complete,Complete
POM,Port Moody-Burquitlam,Diane Stewart,BC Mangoes,2983,23.35%,14 of 14,22/08/2024,03:52:20 PM,5 of 5,9 of 9,Complete,Complete
POM,Port Moody-Burquitlam,Mable Vassilas,Bananas,2431,19.03%,14 of 14,22/08/2024,03:52:20 PM,5 of 5,9 of 9,Complete,Complete
POR,Powell River-Sunshine Coast,Liz Bailey,Bananas,3306,25.69%,16 of 16,22/08/2024,03:52:20 PM,7 of 7,9 of 9,Complete,Complete
POR,Powell River-Sunshine Coast,Jon Chaddock-Costello,BC Pineapple Party,3966,30.82%,16 of 16,22/08/2024,03:52:20 PM,7 of 7,9 of 9,Complete,Complete
POR,Powell River-Sunshine Coast,Elias Li,BC Kiwi Party,2618,20.34%,16 of 16,22/08/2024,03:52:20 PM,7 of 7,9 of 9,Complete,Complete
POR,Powell River-Sunshine Coast,Adrian Poon,BC Mangoes,2979,23.15%,16 of 16,22/08/2024,03:52:20 PM,7 of 7,9 of 9,Complete,Complete
PRM,Prince George-Mackenzie,Ernie Powell,Bananas,4117,36.56%,13 of 13,22/08/2024,03:52:20 PM,4 of 4,9 of 9,Complete,Complete
PRM,Prince George-Mackenzie,Joey Shendryk,BC Mangoes,3573,31.73%,13 of 13,22/08/2024,03:52:20 PM,4 of 4,9 of 9,Complete,Complete
PRM,Prince George-Mackenzie,Darren Timms,BC Kiwi Party,3570,31.71%,13 of 13,22/08/2024,03:52:20 PM,4 of 4,9 of 9,Complete,Complete
PRO,Prince George-North Cariboo,Raymond Fromholt,BC Kiwi Party,3425,31.81%,13 of 13,22/08/2024,03:52:20 PM,6 of 6,7 of 7,Complete,Complete
PRO,Prince George-North Cariboo,Mike Hanley,BC Mangoes,3626,33.68%,13 of 13,22/08/2024,03:52:20 PM,6 of 6,7 of 7,Complete,Complete
PRO,Prince George-North Cariboo,Tracey Lyon,Bananas,3716,34.51%,13 of 13,22/08/2024,03:52:20 PM,6 of 6,7 of 7,Complete,Complete
PRV,Prince George-Valemount,Jonina Crosty,BC Kiwi Party,4575,16.90%,12 of 12,22/08/2024,03:52:20 PM,5 of 5,7 of 7,Complete,Complete
PRV,Prince George-Valemount,Jennifer Elliott,BC Mangoes,3998,14.77%,12 of 12,22/08/2024,03:52:20 PM,5 of 5,7 of 7,Complete,Complete
PRV,Prince George-Valemount,Bruce Paddon,Bananas,5015,18.53%,12 of 12,22/08/2024,03:52:20 PM,5 of 5,7 of 7,Complete,Complete
PRV,Prince George-Valemount,Dana Pan,BC Pineapple Party,4515,16.68%,12 of 12,22/08/2024,03:52:20 PM,5 of 5,7 of 7,Complete,Complete
PRV,Prince George-Valemount,Kyle Poelstra,,4296,15.87%,12 of 12,22/08/2024,03:52:20 PM,5 of 5,7 of 7,Complete,Complete
PRV,Prince George-Valemount,Justin Ralston,Cherries,4667,17.24%,12 of 12,22/08/2024,03:52:20 PM,5 of 5,7 of 7,Complete,Complete
RCB,Richmond-Bridgeport,Norm Dix,Cherries,2626,17.30%,14 of 14,22/08/2024,03:52:20 PM,4 of 4,10 of 10,Complete,Complete
RCB,Richmond-Bridgeport,George Froese,,2373,15.63%,14 of 14,22/08/2024,03:52:20 PM,4 of 4,10 of 10,Complete,Complete
RCB,Richmond-Bridgeport,Lawrence Gibbons,BC Kiwi Party,2740,18.05%,14 of 14,22/08/2024,03:52:20 PM,4 of 4,10 of 10,Complete,Complete
RCB,Richmond-Bridgeport,Donna Masse,Bananas,2211,14.57%,14 of 14,22/08/2024,03:52:20 PM,4 of 4,10 of 10,Complete,Complete
RCB,Richmond-Bridgeport,Niovi Mcgee,BC Pineapple Party,2698,17.77%,14 of 14,22/08/2024,03:52:20 PM,4 of 4,10 of 10,Complete,Complete
RCB,Richmond-Bridgeport,Ron Paddon,BC Mangoes,2532,16.68%,14 of 14,22/08/2024,03:52:20 PM,4 of 4,10 of 10,Complete,Complete
RCC,Richmond Centre,Art Cooper,BC Mangoes,3554,19.71%,12 of 12,22/08/2024,03:52:20 PM,5 of 5,7 of 7,Complete,Complete
RCC,Richmond Centre,Samson Gill,Cherries,3613,20.04%,12 of 12,22/08/2024,03:52:20 PM,5 of 5,7 of 7,Complete,Complete
RCC,Richmond Centre,Selina Mclean,BC Pineapple Party,3974,22.04%,12 of 12,22/08/2024,03:52:20 PM,5 of 5,7 of 7,Complete,Complete
RCC,Richmond Centre,Jasleen Nelson,Bananas,2944,16.33%,12 of 12,22/08/2024,03:52:20 PM,5 of 5,7 of 7,Complete,Complete
RCC,Richmond Centre,Rebecca Shumaker,BC Kiwi Party,3947,21.89%,12 of 12,22/08/2024,03:52:20 PM,5 of 5,7 of 7,Complete,Complete
RCQ,Richmond-Queensborough,Yvonne Moti,BC Mangoes,3369,25.07%,13 of 13,22/08/2024,03:52:20 PM,4 of 4,9 of 9,Complete,Complete
RCQ,Richmond-Queensborough,John Powell,BC Kiwi Party,3910,29.09%,13 of 13,22/08/2024,03:52:20 PM,4 of 4,9 of 9,Complete,Complete
RCQ,Richmond-Queensborough,Paul Purdey,Bananas,3451,25.68%,13 of 13,22/08/2024,03:52:20 PM,4 of 4,9 of 9,Complete,Complete
RCQ,Richmond-Queensborough,Michael Taylor,BC Pineapple Party,2711,20.17%,13 of 13,22/08/2024,03:52:20 PM,4 of 4,9 of 9,Complete,Complete
RCS,Richmond-Steveston,Anne Anton,BC Mangoes,4269,26.26%,13 of 13,22/08/2024,03:52:20 PM,5 of 5,8 of 8,Complete,Complete
RCS,Richmond-Steveston,Richard Kulik,BC Kiwi Party,3969,24.42%,13 of 13,22/08/2024,03:52:20 PM,5 of 5,8 of 8,Complete,Complete
RCS,Richmond-Steveston,Danielle Martin,BC Pineapple Party,4096,25.20%,13 of 13,22/08/2024,03:52:20 PM,5 of 5,8 of 8,Complete,Complete
RCS,Richmond-Steveston,Brian Sebastian,Bananas,3920,24.12%,13 of 13,22/08/2024,03:52:20 PM,5 of 5,8 of 8,Complete,Complete
SAN,Saanich North and the Islands,George Badura,BC Pineapple Party,2510,18.24%,13 of 13,22/08/2024,03:52:20 PM,6 of 6,7 of 7,Complete,Complete
SAN,Saanich North and the Islands,Ryan Bremner-Atkins,Bananas,3103,22.54%,13 of 13,22/08/2024,03:52:20 PM,6 of 6,7 of 7,Complete,Complete
SAN,Saanich North and the Islands,Kevin Conroy,BC Kiwi Party,2366,17.19%,13 of 13,22/08/2024,03:52:20 PM,6 of 6,7 of 7,Complete,Complete
SAN,Saanich North and the Islands,Stephanie Halford,BC Mangoes,3020,21.94%,13 of 13,22/08/2024,03:52:20 PM,6 of 6,7 of 7,Complete,Complete
SAN,Saanich North and the Islands,Barry Monds,Cherries,2765,20.09%,13 of 13,22/08/2024,03:52:20 PM,6 of 6,7 of 7,Complete,Complete
SAS,Saanich South,Tariq Iannidinardo,BC Kiwi Party,5195,35.44%,16 of 16,22/08/2024,03:52:20 PM,5 of 5,11 of 11,Complete,Complete
SAS,Saanich South,Tony Shim,BC Mangoes,4595,31.35%,16 of 16,22/08/2024,03:52:20 PM,5 of 5,11 of 11,Complete,Complete
SAS,Saanich South,Erik Silveira,Bananas,4868,33.21%,16 of 16,22/08/2024,03:52:20 PM,5 of 5,11 of 11,Complete,Complete
SHU,Salmon Arm-Shuswap,Megan Atwal,BC Pineapple Party,2841,16.90%,13 of 13,22/08/2024,03:52:20 PM,6 of 6,7 of 7,Complete,Complete
SHU,Salmon Arm-Shuswap,Bruce Fraser,BC Mangoes,2907,17.29%,13 of 13,22/08/2024,03:52:20 PM,6 of 6,7 of 7,Complete,Complete
SHU,Salmon Arm-Shuswap,Inder Longley,,2895,17.22%,13 of 13,22/08/2024,03:52:20 PM,6 of 6,7 of 7,Complete,Complete
SHU,Salmon Arm-Shuswap,Bruce Murrey,BC Kiwi Party,2848,16.94%,13 of 13,22/08/2024,03:52:20 PM,6 of 6,7 of 7,Complete,Complete
SHU,Salmon Arm-Shuswap,Dee Spurling,Bananas,3085,18.35%,13 of 13,22/08/2024,03:52:20 PM,6 of 6,7 of 7,Complete,Complete
SHU,Salmon Arm-Shuswap,Cathy Whiteside,Cherries,2233,13.28%,13 of 13,22/08/2024,03:52:20 PM,6 of 6,7 of 7,Complete,Complete
SKE,Skeena,Peter Bains,BC Kiwi Party,685,10.87%,13 of 13,22/08/2024,03:52:20 PM,5 of 5,8 of 8,Complete,Complete
SKE,Skeena,John Crowley,Cherries,1201,19.06%,13 of 13,22/08/2024,03:52:20 PM,5 of 5,8 of 8,Complete,Complete
SKE,Skeena,Dan Darcy,BC Mangoes,1625,25.79%,13 of 13,22/08/2024,03:52:20 PM,5 of 5,8 of 8,Complete,Complete
SKE,Skeena,Jeremy Hansen,BC Pineapple Party,2080,33.01%,13 of 13,22/08/2024,03:52:20 PM,5 of 5,8 of 8,Complete,Complete
SKE,Skeena,George Sollitt,Bananas,710,11.27%,13 of 13,22/08/2024,03:52:20 PM,5 of 5,8 of 8,Complete,Complete
SRC,Surrey City Centre,Karen Duncan,Bananas,12252,23.32%,13 of 13,22/08/2024,03:52:20 PM,4 of 4,9 of 9,Complete,Complete
SRC,Surrey City Centre,Tyson Eby,BC Kiwi Party,20704,39.40%,13 of 13,22/08/2024,03:52:20 PM,4 of 4,9 of 9,Complete,Complete
SRC,Surrey City Centre,Wayne Fell,BC Mangoes,11612,22.10%,13 of 13,22/08/2024,03:52:20 PM,4 of 4,9 of 9,Complete,Complete
SRC,Surrey City Centre,Bob Locke,BC Pineapple Party,7978,15.18%,13 of 13,22/08/2024,03:52:20 PM,4 of 4,9 of 9,Complete,Complete
SRD,Surrey-Cloverdale,Nathan Craven,Bananas,3936,32.09%,13 of 13,22/08/2024,03:52:20 PM,5 of 5,8 of 8,Complete,Complete
SRD,Surrey-Cloverdale,Dan Sayeed,BC Kiwi Party,3956,32.25%,13 of 13,22/08/2024,03:52:20 PM,5 of 5,8 of 8,Complete,Complete
SRD,Surrey-Cloverdale,Niki Templeman,BC Mangoes,4374,35.66%,13 of 13,22/08/2024,03:52:20 PM,5 of 5,8 of 8,Complete,Complete
SRF,Surrey-Fleetwood,Teresa Ross,BC Kiwi Party,2998,24.57%,13 of 13,22/08/2024,03:52:20 PM,5 of 5,8 of 8,Complete,Complete
SRF,Surrey-Fleetwood,Kay Rustad,BC Pineapple Party,2184,17.90%,13 of 13,22/08/2024,03:52:20 PM,5 of 5,8 of 8,Complete,Complete
SRF,Surrey-Fleetwood,Karen Torre,Bananas,1901,15.58%,13 of 13,22/08/2024,03:52:20 PM,5 of 5,8 of 8,Complete,Complete
SRF,Surrey-Fleetwood,Lorraine Truch,Cherries,2310,18.93%,13 of 13,22/08/2024,03:52:20 PM,5 of 5,8 of 8,Complete,Complete
SRF,Surrey-Fleetwood,John Virk,BC Mangoes,2809,23.02%,13 of 13,22/08/2024,03:52:20 PM,5 of 5,8 of 8,Complete,Complete
SRG,Surrey-Guildford,Scott Dean,Bananas,3281,26.65%,15 of 15,22/08/2024,03:52:20 PM,5 of 5,10 of 10,Complete,Complete
SRG,Surrey-Guildford,Peter Garfinkel,BC Mangoes,2946,23.93%,15 of 15,22/08/2024,03:52:20 PM,5 of 5,10 of 10,Complete,Complete
SRG,Surrey-Guildford,Stephen Sahlmark,BC Kiwi Party,2942,23.90%,15 of 15,22/08/2024,03:52:20 PM,5 of 5,10 of 10,Complete,Complete
SRG,Surrey-Guildford,Sylvia Van Der Velden,BC Pineapple Party,3141,25.52%,15 of 15,22/08/2024,03:52:20 PM,5 of 5,10 of 10,Complete,Complete
SRN,Surrey-Newton,Nicholas Baird,BC Pineapple Party,2622,20.03%,13 of 13,22/08/2024,03:52:20 PM,4 of 4,9 of 9,Complete,Complete
SRN,Surrey-Newton,Surinder Elliott,BC Mangoes,2350,17.95%,13 of 13,22/08/2024,03:52:20 PM,4 of 4,9 of 9,Complete,Complete
SRN,Surrey-Newton,Andrew Krog,BC Kiwi Party,2768,21.15%,13 of 13,22/08/2024,03:52:20 PM,4 of 4,9 of 9,Complete,Complete
SRN,Surrey-Newton,Carole Rogers, ,2530,19.33%,13 of 13,22/08/2024,03:52:20 PM,4 of 4,9 of 9,Complete,Complete
SRN,Surrey-Newton,Henry Westgate,Bananas,2820,21.54%,13 of 13,22/08/2024,03:52:20 PM,4 of 4,9 of 9,Complete,Complete
SUN,Surrey North,Evan Dahlby,BC Kiwi Party,6310,3.01%,13 of 13,22/08/2024,03:52:20 PM,4 of 4,9 of 9,Complete,Complete
SUN,Surrey North,Suzanne Grewal,Cherries,127806,60.90%,13 of 13,22/08/2024,03:52:20 PM,4 of 4,9 of 9,Complete,Complete
SUN,Surrey North,Jodi Marshall,Bananas,37496,17.87%,13 of 13,22/08/2024,03:52:20 PM,4 of 4,9 of 9,Complete,Complete
SUN,Surrey North,Kate Smith,BC Pineapple Party,35331,16.83%,13 of 13,22/08/2024,03:52:20 PM,4 of 4,9 of 9,Complete,Complete
SUN,Surrey North,Mary Taft,BC Mangoes,2928,1.40%,13 of 13,22/08/2024,03:52:20 PM,4 of 4,9 of 9,Complete,Complete
SUP,Surrey-Panorama,Neeraj Bax,BC Kiwi Party,386,3.92%,13 of 13,22/08/2024,03:52:20 PM,5 of 5,8 of 8,Complete,Complete
SUP,Surrey-Panorama,Kelly Holthuis,BC Mangoes,789,8.02%,13 of 13,22/08/2024,03:52:20 PM,5 of 5,8 of 8,Complete,Complete
SUP,Surrey-Panorama,Pam Nederpel,Cherries,1566,15.91%,13 of 13,22/08/2024,03:52:20 PM,5 of 5,8 of 8,Complete,Complete
SUP,Surrey-Panorama,Tim Prior,BC Pineapple Party,2404,24.43%,13 of 13,22/08/2024,03:52:20 PM,5 of 5,8 of 8,Complete,Complete
SUP,Surrey-Panorama,Laura Singh,,1825,18.55%,13 of 13,22/08/2024,03:52:20 PM,5 of 5,8 of 8,Complete,Complete
SUP,Surrey-Panorama,Ian Warawa,Bananas,2870,29.17%,13 of 13,22/08/2024,03:52:20 PM,5 of 5,8 of 8,Complete,Complete
SUR,Surrey-Serpentine River,Renee Connolly,BC Mangoes,2519,18.01%,13 of 13,22/08/2024,03:52:20 PM,5 of 5,8 of 8,Complete,Complete
SUR,Surrey-Serpentine River,Ryan D'Eith,BC Kiwi Party,2799,20.02%,13 of 13,22/08/2024,03:52:20 PM,5 of 5,8 of 8,Complete,Complete
SUR,Surrey-Serpentine River,Judy Robinson,Cherries,2407,17.21%,13 of 13,22/08/2024,03:52:20 PM,5 of 5,8 of 8,Complete,Complete
SUR,Surrey-Serpentine River,Graham Russel,BC Pineapple Party,2789,19.95%,13 of 13,22/08/2024,03:52:20 PM,5 of 5,8 of 8,Complete,Complete
SUR,Surrey-Serpentine River,Colleen Tiessen,Bananas,3469,24.81%,13 of 13,22/08/2024,03:52:20 PM,5 of 5,8 of 8,Complete,Complete
SUS,Surrey South,Rick Bernier,BC Pineapple Party,2154,17.32%,15 of 15,22/08/2024,03:52:20 PM,6 of 6,9 of 9,Complete,Complete
SUS,Surrey South,Jinny Chan,BC Mangoes,2277,18.30%,15 of 15,22/08/2024,03:52:20 PM,6 of 6,9 of 9,Complete,Complete
SUS,Surrey South,Preet De Jong,Bananas,2441,19.62%,15 of 15,22/08/2024,03:52:20 PM,6 of 6,9 of 9,Complete,Complete
SUS,Surrey South,Michelle Kahlon,Cherries,3983,32.02%,15 of 15,22/08/2024,03:52:20 PM,6 of 6,9 of 9,Complete,Complete
SUS,Surrey South,Anna Rice,BC Kiwi Party,1585,12.74%,15 of 15,22/08/2024,03:52:20 PM,6 of 6,9 of 9,Complete,Complete
SWR,Surrey-White Rock,Josie Good,Bananas,2307,11.93%,14 of 14,22/08/2024,03:52:20 PM,5 of 5,9 of 9,Complete,Complete
SWR,Surrey-White Rock,Ellis Horgan,BC Kiwi Party,2852,14.75%,14 of 14,22/08/2024,03:52:20 PM,5 of 5,9 of 9,Complete,Complete
SWR,Surrey-White Rock,Gregory Parekh,Cherries,3012,15.57%,14 of 14,22/08/2024,03:52:20 PM,5 of 5,9 of 9,Complete,Complete
SWR,Surrey-White Rock,Harrison Ralston,,2496,12.90%,14 of 14,22/08/2024,03:52:20 PM,5 of 5,9 of 9,Complete,Complete
SWR,Surrey-White Rock,Rob Redies,BC Mangoes,2746,14.20%,14 of 14,22/08/2024,03:52:20 PM,5 of 5,9 of 9,Complete,Complete
SWR,Surrey-White Rock,Elizabeth Thornthwaite,BC Pineapple Party,2937,15.18%,14 of 14,22/08/2024,03:52:20 PM,5 of 5,9 of 9,Complete,Complete
SWR,Surrey-White Rock,Norm Velay-Vitow,Independent,2992,15.47%,14 of 14,22/08/2024,03:52:20 PM,5 of 5,9 of 9,Complete,Complete
VFV,Vancouver-Fraserview,Joan Bryant,Cherries,3116,19.91%,15 of 15,22/08/2024,03:52:20 PM,6 of 6,9 of 9,Complete,Complete
VFV,Vancouver-Fraserview,Gary Jolicoeur,BC Kiwi Party,3056,19.53%,15 of 15,22/08/2024,03:52:20 PM,6 of 6,9 of 9,Complete,Complete
VFV,Vancouver-Fraserview,Doug Reichert,Bananas,2962,18.93%,15 of 15,22/08/2024,03:52:20 PM,6 of 6,9 of 9,Complete,Complete
VFV,Vancouver-Fraserview,Roxanne Shaw,BC Pineapple Party,3171,20.26%,15 of 15,22/08/2024,03:52:20 PM,6 of 6,9 of 9,Complete,Complete
VFV,Vancouver-Fraserview,Bob Sy,BC Mangoes,3343,21.36%,15 of 15,22/08/2024,03:52:20 PM,6 of 6,9 of 9,Complete,Complete
VHA,Vancouver-Hastings,John Ashton,Bananas,2652,11.08%,14 of 14,22/08/2024,03:52:20 PM,5 of 5,9 of 9,Complete,Complete
VHA,Vancouver-Hastings,Aleksandra Holzbauer,,2608,10.90%,14 of 14,22/08/2024,03:52:20 PM,5 of 5,9 of 9,Complete,Complete
